,GCA_918698235.1,GCA_014773485.1,GCA_024169515.1
Cluster_260,LBGCNHPF_01796,OEIEKCCN_02463,OCILAMFM_00367
Cluster_261,LBGCNHPF_01338,OEIEKCCN_00703,OCILAMFM_03055
Cluster_262,LBGCNHPF_01612,OEIEKCCN_02335,OCILAMFM_00230
Cluster_263,,,OCILAMFM_01108
Cluster_264,LBGCNHPF_01966,OEIEKCCN_00439,OCILAMFM_00565
Cluster_265,LBGCNHPF_03991,OEIEKCCN_01472,OCILAMFM_02433
Cluster_266,LBGCNHPF_03919,OEIEKCCN_02900,OCILAMFM_00799
Cluster_267,LBGCNHPF_02583,OEIEKCCN_02275,OCILAMFM_00163
Cluster_268,LBGCNHPF_00212,OEIEKCCN_01401;OEIEKCCN_03966,OCILAMFM_03816
Cluster_269,LBGCNHPF_01326,OEIEKCCN_00715,OCILAMFM_03067
Cluster_270,LBGCNHPF_03903,OEIEKCCN_02916,OCILAMFM_00782
Cluster_271,LBGCNHPF_00033,OEIEKCCN_04161;OEIEKCCN_03604,OCILAMFM_03993
Cluster_272,LBGCNHPF_03325,OEIEKCCN_00095,OCILAMFM_01609
Cluster_273,,,OCILAMFM_04355
Cluster_274,LBGCNHPF_02081,OEIEKCCN_02654,OCILAMFM_01057
Cluster_275,LBGCNHPF_02096,OEIEKCCN_02669,OCILAMFM_01042
Cluster_276,LBGCNHPF_02328,OEIEKCCN_02887,OCILAMFM_00814
Cluster_277,LBGCNHPF_02866,OEIEKCCN_04605,OCILAMFM_01571
Cluster_278,,,OCILAMFM_00463
Cluster_279,LBGCNHPF_03572,OEIEKCCN_04449,OCILAMFM_01250
Cluster_280,LBGCNHPF_02268,OEIEKCCN_02827,OCILAMFM_00876
Cluster_281,LBGCNHPF_00064,OEIEKCCN_03573;OEIEKCCN_04130,OCILAMFM_03962
Cluster_282,LBGCNHPF_01884,,
Cluster_283,LBGCNHPF_03434,OEIEKCCN_03708,OCILAMFM_04070
Cluster_284,,,OCILAMFM_00467
Cluster_285,LBGCNHPF_01302,OEIEKCCN_00739,OCILAMFM_03091
Cluster_286,LBGCNHPF_02161,OEIEKCCN_02734,OCILAMFM_00977
Cluster_287,LBGCNHPF_03323,OEIEKCCN_00097,OCILAMFM_01607
Cluster_288,LBGCNHPF_03525,OEIEKCCN_04498,OCILAMFM_01203
Cluster_289,LBGCNHPF_00673,OEIEKCCN_01948,OCILAMFM_01904
Cluster_290,LBGCNHPF_01947,OEIEKCCN_00420,OCILAMFM_00553
Cluster_291,LBGCNHPF_02727,OEIEKCCN_04263,OCILAMFM_01445
Cluster_292,LBGCNHPF_00606,OEIEKCCN_02014,OCILAMFM_01838
Cluster_293,LBGCNHPF_03697,OEIEKCCN_01011,OCILAMFM_03424
Cluster_294,,OEIEKCCN_03780,
Cluster_295,LBGCNHPF_03553,OEIEKCCN_04470,OCILAMFM_01231
Cluster_296,LBGCNHPF_01769,OEIEKCCN_02436,OCILAMFM_00337
Cluster_297,,,OCILAMFM_00854
Cluster_298,LBGCNHPF_03589,OEIEKCCN_04432,OCILAMFM_01267
Cluster_299,LBGCNHPF_02767,OEIEKCCN_04506,OCILAMFM_01472
Cluster_300,LBGCNHPF_01201,OEIEKCCN_00840,OCILAMFM_03248
Cluster_301,LBGCNHPF_01797,OEIEKCCN_02464,OCILAMFM_00368
Cluster_302,LBGCNHPF_02704,OEIEKCCN_04285,OCILAMFM_01423
Cluster_303,LBGCNHPF_01324,OEIEKCCN_00717,OCILAMFM_03069
Cluster_304,LBGCNHPF_02685,OEIEKCCN_04304,OCILAMFM_01397
Cluster_305,LBGCNHPF_02644,OEIEKCCN_04345,OCILAMFM_01355
Cluster_306,LBGCNHPF_00561,OEIEKCCN_01069,OCILAMFM_03485
Cluster_307,,,OCILAMFM_00484
Cluster_308,,,OCILAMFM_00965
Cluster_309,LBGCNHPF_04133,OEIEKCCN_00349,
Cluster_310,LBGCNHPF_00848,OEIEKCCN_01774,OCILAMFM_02077
Cluster_311,,,OCILAMFM_02115
Cluster_312,,,OCILAMFM_00247
Cluster_313,LBGCNHPF_02471,OEIEKCCN_02164,OCILAMFM_00032
Cluster_314,LBGCNHPF_00583,OEIEKCCN_01048,OCILAMFM_03461
Cluster_315,LBGCNHPF_01533,OEIEKCCN_03152,OCILAMFM_02873
Cluster_316,LBGCNHPF_04017,OEIEKCCN_00283,OCILAMFM_01720
Cluster_317,LBGCNHPF_01730,OEIEKCCN_02397,OCILAMFM_00293
Cluster_318,LBGCNHPF_00766,OEIEKCCN_01856,OCILAMFM_01993
Cluster_319,LBGCNHPF_03687,OEIEKCCN_01001,OCILAMFM_03414
Cluster_320,LBGCNHPF_00365,OEIEKCCN_01244,OCILAMFM_03649
