gene,protein,reaction,model,BiGG_gene
G_3_A_1_207_1_comp1,P_3_A_1_207_1_comp1+3_A_1_207_1_comp2+3_A_1_207_1_comp3+3_A_1_207_1_comp4+3_A_1_207_1_comp5,R_3_A_1_207_1,TCDB,TCDB.3_A_1_207_1_comp1
G_3_A_1_207_1_comp2,P_3_A_1_207_1_comp1+3_A_1_207_1_comp2+3_A_1_207_1_comp3+3_A_1_207_1_comp4+3_A_1_207_1_comp5,R_3_A_1_207_1,TCDB,TCDB.3_A_1_207_1_comp2
G_3_A_1_207_1_comp3,P_3_A_1_207_1_comp1+3_A_1_207_1_comp2+3_A_1_207_1_comp3+3_A_1_207_1_comp4+3_A_1_207_1_comp5,R_3_A_1_207_1,TCDB,TCDB.3_A_1_207_1_comp3
G_3_A_1_207_1_comp4,P_3_A_1_207_1_comp1+3_A_1_207_1_comp2+3_A_1_207_1_comp3+3_A_1_207_1_comp4+3_A_1_207_1_comp5,R_3_A_1_207_1,TCDB,TCDB.3_A_1_207_1_comp4
G_3_A_1_207_1_comp5,P_3_A_1_207_1_comp1+3_A_1_207_1_comp2+3_A_1_207_1_comp3+3_A_1_207_1_comp4+3_A_1_207_1_comp5,R_3_A_1_207_1,TCDB,TCDB.3_A_1_207_1_comp5
G_2_D_1_1_8_comp1,P_2_D_1_1_8_comp1,R_2_D_1_1_8,TCDB,TCDB.2_D_1_1_8_comp1
G_1_B_69_1_7_comp1,P_1_B_69_1_7_comp1,R_1_B_69_1_7,TCDB,TCDB.1_B_69_1_7_comp1
G_1_A_15_1_2_comp1,P_1_A_15_1_2_comp1,R_1_A_15_1_2,TCDB,TCDB.1_A_15_1_2_comp1
G_9_B_247_1_8_comp1,P_9_B_247_1_8_comp1,R_9_B_247_1_8,TCDB,TCDB.9_B_247_1_8_comp1
G_1_A_17_1_12_comp1,P_1_A_17_1_12_comp1,R_1_A_17_1_12,TCDB,TCDB.1_A_17_1_12_comp1
G_1_A_17_1_13_comp1,P_1_A_17_1_13_comp1,R_1_A_17_1_13,TCDB,TCDB.1_A_17_1_13_comp1
G_9_B_82_1_5_comp1,P_9_B_82_1_5_comp1,R_9_B_82_1_5,TCDB,TCDB.9_B_82_1_5_comp1
G_1_A_17_3_14_comp1,P_1_A_17_3_14_comp1,R_1_A_17_3_14,TCDB,TCDB.1_A_17_3_14_comp1
G_1_A_17_3_13_comp1,P_1_A_17_3_13_comp1,R_1_A_17_3_13,TCDB,TCDB.1_A_17_3_13_comp1
G_1_A_17_3_15_comp1,P_1_A_17_3_15_comp1,R_1_A_17_3_15,TCDB,TCDB.1_A_17_3_15_comp1
G_2_A_105_1_5_comp1,P_2_A_105_1_5_comp1,R_2_A_105_1_5,TCDB,TCDB.2_A_105_1_5_comp1
G_1_A_3_2_4_comp1,P_1_A_3_2_4_comp1,R_1_A_3_2_4,TCDB,TCDB.1_A_3_2_4_comp1
G_9_B_1_2_3_comp1,P_9_B_1_2_3_comp1,R_9_B_1_2_3,TCDB,TCDB.9_B_1_2_3_comp1
G_2_A_66_3_4_comp1,P_2_A_66_3_4_comp1,R_2_A_66_3_4,TCDB,TCDB.2_A_66_3_4_comp1
G_1_A_75_1_10_comp1,P_1_A_75_1_10_comp1,R_1_A_75_1_10,TCDB,TCDB.1_A_75_1_10_comp1
G_1_A_17_3_9_comp1,P_1_A_17_3_9_comp1,R_1_A_17_3_9,TCDB,TCDB.1_A_17_3_9_comp1
G_9_A_6_1_2_comp1,P_9_A_6_1_2_comp1,R_9_A_6_1_2,TCDB,TCDB.9_A_6_1_2_comp1
G_1_C_105_2_5_comp1,P_1_C_105_2_5_comp1,R_1_C_105_2_5,TCDB,TCDB.1_C_105_2_5_comp1
G_1_A_77_1_8_comp1,P_1_A_77_1_8_comp1,R_1_A_77_1_8,TCDB,TCDB.1_A_77_1_8_comp1
G_9_B_38_2_1_comp1,P_9_B_38_2_1_comp1,R_9_B_38_2_1,TCDB,TCDB.9_B_38_2_1_comp1
G_8_A_65_1_2_comp1,P_8_A_65_1_2_comp1,R_8_A_65_1_2,TCDB,TCDB.8_A_65_1_2_comp1
G_4_F_1_1_4_comp1,P_4_F_1_1_4_comp1,R_4_F_1_1_4,TCDB,TCDB.4_F_1_1_4_comp1
G_1_C_105_2_3_comp1,P_1_C_105_2_3_comp1,R_1_C_105_2_3,TCDB,TCDB.1_C_105_2_3_comp1
G_1_A_75_1_5_comp1,P_1_A_75_1_5_comp1,R_1_A_75_1_5,TCDB,TCDB.1_A_75_1_5_comp1
G_9_A_57_1_2_comp1,P_9_A_57_1_2_comp1,R_9_A_57_1_2,TCDB,TCDB.9_A_57_1_2_comp1
G_9_A_57_1_3_comp1,P_9_A_57_1_3_comp1,R_9_A_57_1_3,TCDB,TCDB.9_A_57_1_3_comp1
G_2_A_53_2_9_comp1,P_2_A_53_2_9_comp1,R_2_A_53_2_9,TCDB,TCDB.2_A_53_2_9_comp1
G_1_B_1_1_7_comp1,P_1_B_1_1_7_comp1,R_1_B_1_1_7,TCDB,TCDB.1_B_1_1_7_comp1
G_1_R_2_1_1_comp1,P_1_R_2_1_1_comp1,R_1_R_2_1_1,TCDB,TCDB.1_R_2_1_1_comp1
G_3_A_1_155_2_comp1,P_3_A_1_155_2_comp1,R_3_A_1_155_2,TCDB,TCDB.3_A_1_155_2_comp1
G_2_A_1_2_74_comp1,P_2_A_1_2_74_comp1,R_2_A_1_2_74,TCDB,TCDB.2_A_1_2_74_comp1
G_2_A_51_1_4_comp1,P_2_A_51_1_4_comp1,R_2_A_51_1_4,TCDB,TCDB.2_A_51_1_4_comp1
G_3_A_1_132_3_comp1,P_3_A_1_132_3_comp1+3_A_1_132_3_comp2+3_A_1_132_3_comp3,R_3_A_1_132_3,TCDB,TCDB.3_A_1_132_3_comp1
G_3_A_1_132_3_comp2,P_3_A_1_132_3_comp1+3_A_1_132_3_comp2+3_A_1_132_3_comp3,R_3_A_1_132_3,TCDB,TCDB.3_A_1_132_3_comp2
G_3_A_1_132_3_comp3,P_3_A_1_132_3_comp1+3_A_1_132_3_comp2+3_A_1_132_3_comp3,R_3_A_1_132_3,TCDB,TCDB.3_A_1_132_3_comp3
G_1_A_1_14_6_comp1,P_1_A_1_14_6_comp1,R_1_A_1_14_6,TCDB,TCDB.1_A_1_14_6_comp1
